route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
19,13FALL-All-Weekday-05,754567,"19 Victoria South to Highland Hills",0,121355,190004
19,13FALL-All-Weekday-05,754568,"19 Victoria South to Highland Hills",0,121384,190004
19,13FALL-All-Weekday-05,754569,"19 Victoria South to Highland Hills",0,121336,190004
19,13FALL-All-Weekday-05,754570,"19 Victoria South to Highland Hills",0,121384,190004
19,13FALL-All-Weekday-05,754571,"19 Victoria South to Highland Hills",0,121381,190004
19,13FALL-All-Weekday-05,754572,"19 Victoria South to Highland Hills",0,121802,190004
19,13FALL-All-Weekday-05,754573,"19 Victoria South to Highland Hills",0,126111,190004
19,13FALL-All-Weekday-05,754574,"19 Victoria South to Downtown",0,121381,190004
19,13FALL-All-Weekday-05,754575,"19 Victoria South to Highland Hills",0,121425,190004
19,13FALL-All-Weekday-05,754576,"19 Victoria South to Highland Hills",0,121348,190004
19,13FALL-All-Weekday-05,754577,"19 Victoria South to Highland Hills",0,126111,190004
19,13FALL-All-Weekday-05,754578,"19 Victoria South to Highland Hills",0,121355,190004
19,13FALL-All-Weekday-05,754579,"19 Victoria South to Highland Hills",0,126111,190004
19,13FALL-All-Weekday-05,754580,"19 Victoria South to Downtown",1,121381,190007
19,13FALL-All-Weekday-05,754581,"19 Victoria South to Downtown",1,121384,190007
19,13FALL-All-Weekday-05,754582,"19 Victoria South to Downtown",1,121381,190007
19,13FALL-All-Weekday-05,754583,"19 Victoria South to Downtown",1,121384,190007
19,13FALL-All-Weekday-05,754584,"19 Victoria South to Downtown",1,121336,190007
19,13FALL-All-Weekday-05,754585,"19 Victoria South to Downtown",1,121384,190007
19,13FALL-All-Weekday-05,754586,"19 Victoria South to Downtown",1,121381,190007
19,13FALL-All-Weekday-05,754587,"19 Victoria South to Downtown",1,121348,190007
19,13FALL-All-Weekday-05,754588,"19 Victoria South to Downtown",1,126111,190007
19,13FALL-All-Weekday-05,754589,"19 Victoria South to Downtown",1,121355,190007
19,13FALL-All-Weekday-05,754590,"19 Victoria South to Downtown",1,121425,190007
19,13FALL-All-Weekday-05,754591,"19 Victoria South to Downtown",1,121348,190007
19,13FALL-All-Weekday-05,754592,"19 Victoria South to Downtown",1,126111,190007
19,13FALL-All-Weekday-05,754593,"19 Victoria South to Downtown",1,121355,190007
19,13FALL-All-Weekday-05,754594,"19 Victoria South to Downtown",1,126111,190007
23,13FALL-All-Weekday-05,754595,"23 Idlewood",0,121357,230014
23,13FALL-All-Weekday-05,754596,"23 Idlewood",0,121433,230014
23,13FALL-All-Weekday-05,754597,"23 Idlewood",0,121431,230014
23,13FALL-All-Weekday-05,754598,"23 Idlewood",0,121432,230014
23,13FALL-All-Weekday-05,754599,"23 Idlewood",0,121387,230014
23,13FALL-All-Weekday-05,754600,"23 Idlewood",0,121357,230014
23,13FALL-All-Weekday-05,754601,"23 Idlewood",0,121433,230014
23,13FALL-All-Weekday-05,754602,"23 Idlewood",0,121431,230014
23,13FALL-All-Weekday-05,754603,"23 Idlewood",0,121432,230014
23,13FALL-All-Weekday-05,754604,"23 Idlewood",0,121387,230014
23,13FALL-All-Weekday-05,754605,"23 Idlewood",0,121357,230014
23,13FALL-All-Weekday-05,754606,"23 Idlewood to Fairview Park",0,121433,230016
23,13FALL-All-Weekday-05,754607,"23 Idlewood to Fairview Park",0,121431,230016
23,13FALL-All-Weekday-05,754608,"23 Idlewood to Fairview Park",0,121432,230016
23,13FALL-All-Weekday-05,754609,"23 Idlewood to Fairview Park",0,121387,230016
23,13FALL-All-Weekday-05,754610,"23 Idlewood to Fairview Park",0,121357,230016
23,13FALL-All-Weekday-05,754611,"23 Idlewood to Fairview Park",0,121358,230016
23,13FALL-All-Weekday-05,754612,"23 Idlewood to Fairview Park",0,121433,230016
23,13FALL-All-Weekday-05,754613,"23 Idlewood to Fairview Park",0,121431,230016
23,13FALL-All-Weekday-05,754614,"23 Idlewood to Fairview Park",0,121432,230016
23,13FALL-All-Weekday-05,754615,"23 Idlewood to Fairview Park",0,121433,230016
23,13FALL-All-Weekday-05,754616,"23 Idlewood to Fairview Park",0,121431,230016
23,13FALL-All-Weekday-05,754617,"23 Idlewood to Fairview Park",0,121432,230016
23,13FALL-All-Weekday-05,754618,"23 Idlewood to Fairview Park",0,121387,230016
23,13FALL-All-Weekday-05,754619,"23 Idlewood to Fairview Park",0,121414,230016
23,13FALL-All-Weekday-05,754621,"23 Idlewood",1,121391,230017
23,13FALL-All-Weekday-05,754622,"23 Idlewood",1,121414,230017
23,13FALL-All-Weekday-05,754623,"23 Idlewood",1,121357,230017
23,13FALL-All-Weekday-05,754624,"23 Idlewood",1,121433,230017
23,13FALL-All-Weekday-05,754625,"23 Idlewood",1,121431,230017
23,13FALL-All-Weekday-05,754626,"23 Idlewood",1,121432,230017
23,13FALL-All-Weekday-05,754627,"23 Idlewood",1,121387,230017
23,13FALL-All-Weekday-05,754628,"23 Idlewood",1,121358,230017
23,13FALL-All-Weekday-05,754629,"23 Idlewood",1,121433,230017
23,13FALL-All-Weekday-05,754630,"23 Idlewood",1,121431,230017
23,13FALL-All-Weekday-05,754631,"23 Idlewood",1,121432,230017
23,13FALL-All-Weekday-05,754632,"23 Idlewood",1,121387,230017
23,13FALL-All-Weekday-05,754633,"23 Idlewood",1,121357,230017
23,13FALL-All-Weekday-05,754634,"23 Idlewood",1,121358,230017
23,13FALL-All-Weekday-05,754635,"23 Idlewood",1,121433,230017
23,13FALL-All-Weekday-05,754636,"23 Downtown",1,121357,230015
23,13FALL-All-Weekday-05,754637,"23 Downtown",1,121433,230015
23,13FALL-All-Weekday-05,754638,"23 Downtown",1,121431,230015
23,13FALL-All-Weekday-05,754639,"23 Downtown",1,121432,230015
23,13FALL-All-Weekday-05,754640,"23 Downtown",1,121387,230015
23,13FALL-All-Weekday-05,754641,"23 Downtown",1,121357,230015
23,13FALL-All-Weekday-05,754642,"23 Downtown",1,121433,230015
23,13FALL-All-Weekday-05,754643,"23 Downtown",1,121431,230015
23,13FALL-All-Weekday-05,754644,"23 Downtown",1,121432,230015
23,13FALL-All-Weekday-05,754645,"23 Downtown",1,121387,230015
23,13FALL-All-Weekday-05,754646,"23 Downtown",1,121357,230015
24,13FALL-All-Weekday-05,754647,"24 Highland",0,121408,240018
24,13FALL-All-Weekday-05,754648,"24 Highland",0,121359,240018
24,13FALL-All-Weekday-05,754649,"24 Highland",0,121408,240018
24,13FALL-All-Weekday-05,754650,"24 Highland",0,121359,240018
24,13FALL-All-Weekday-05,754651,"24 Highland",0,121408,240018
24,13FALL-All-Weekday-05,754652,"24 Highland",0,121359,240018
24,13FALL-All-Weekday-05,754653,"24 Highland",0,121408,240018
24,13FALL-All-Weekday-05,754654,"24 Highland",0,121359,240018
24,13FALL-All-Weekday-05,754655,"24 Highland",0,121408,240018
24,13FALL-All-Weekday-05,754656,"24 Highland",0,121359,240018
24,13FALL-All-Weekday-05,754657,"24 Highland",0,121408,240018
24,13FALL-All-Weekday-05,754658,"24 Highland",0,121359,240018
24,13FALL-All-Weekday-05,754659,"24 Highland",0,121424,240018
24,13FALL-All-Weekday-05,754660,"24 Highland",0,121359,240018
24,13FALL-All-Weekday-05,754661,"24 Highland",0,121408,240018
24,13FALL-All-Weekday-05,754662,"24 Highland",0,121359,240018
24,13FALL-All-Weekday-05,754663,"24 Highland",0,121408,240018
24,13FALL-All-Weekday-05,754664,"24 Highland",0,121359,240018
24,13FALL-All-Weekday-05,754665,"24 Highland",0,121408,240018
24,13FALL-All-Weekday-05,754666,"24 Highland",0,121359,240018
24,13FALL-All-Weekday-05,754667,"24 Highland",0,121408,240018
24,13FALL-All-Weekday-05,754668,"24 Highland",0,121359,240018
24,13FALL-All-Weekday-05,754669,"24 Highland",0,121408,240018
24,13FALL-All-Weekday-05,754670,"24 Highland",0,121382,240018
24,13FALL-All-Weekday-05,754672,"24 Highland",0,121382,240018
24,13FALL-All-Weekday-05,754673,"24 Highland",0,121382,240018
24,13FALL-All-Weekday-05,754674,"24 Highland",0,121382,240018
24,13FALL-All-Weekday-05,754675,"24 Highland",0,121382,240018
24,13FALL-All-Weekday-05,754676,"24 Highland",0,121359,240006
24,13FALL-All-Weekday-05,754677,"24 Highland",0,121382,240018
24,13FALL-All-Weekday-05,754678,"24 Highland to Downtown",1,121359,240019
24,13FALL-All-Weekday-05,754679,"24 Highland to Downtown",1,121424,240019
24,13FALL-All-Weekday-05,754680,"24 Highland to Downtown",1,121359,240019
24,13FALL-All-Weekday-05,754681,"24 Highland to Downtown",1,121408,240019
24,13FALL-All-Weekday-05,754682,"24 Highland to Downtown",1,121359,240019
24,13FALL-All-Weekday-05,754683,"24 Highland to Downtown",1,121408,240019
24,13FALL-All-Weekday-05,754684,"24 Highland to Downtown",1,121359,240019
24,13FALL-All-Weekday-05,754685,"24 Highland to Downtown",1,121408,240019
24,13FALL-All-Weekday-05,754686,"24 Highland to Downtown",1,121359,240019
24,13FALL-All-Weekday-05,754687,"24 Highland to Downtown",1,121408,240019
24,13FALL-All-Weekday-05,754688,"24 Highland to Downtown",1,121359,240019
24,13FALL-All-Weekday-05,754689,"24 Highland to Downtown",1,121408,240019
24,13FALL-All-Weekday-05,754690,"24 Highland to Downtown",1,121359,240019
24,13FALL-All-Weekday-05,754691,"24 Highland to Downtown",1,121408,240019
24,13FALL-All-Weekday-05,754692,"24 Highland to Downtown",1,121359,240019
24,13FALL-All-Weekday-05,754693,"24 Highland to Downtown",1,121408,240019
24,13FALL-All-Weekday-05,754694,"24 Highland to Downtown",1,121359,240019
24,13FALL-All-Weekday-05,754695,"24 Highland to Downtown",1,121408,240019
24,13FALL-All-Weekday-05,754696,"24 Highland to Downtown",1,121359,240019
24,13FALL-All-Weekday-05,754697,"24 Highland to Downtown",1,121408,240019
24,13FALL-All-Weekday-05,754698,"24 Highland to Downtown",1,121359,240019
24,13FALL-All-Weekday-05,754699,"24 Highland to Downtown",1,121408,240019
24,13FALL-All-Weekday-05,754700,"24 Highland to Downtown",1,121359,240019
24,13FALL-All-Weekday-05,754701,"24 Highland to Downtown",1,121408,240019
24,13FALL-All-Weekday-05,754702,"24 Highland to Downtown",1,121382,240019
24,13FALL-All-Weekday-05,754704,"24 Highland",1,121381,240009
24,13FALL-All-Weekday-05,754705,"24 Highland to Downtown",1,121382,240021
24,13FALL-All-Weekday-05,754706,"24 Highland to Downtown",1,121382,240021
24,13FALL-All-Weekday-05,754707,"24 Highland to Downtown",1,121382,240021
24,13FALL-All-Weekday-05,754708,"24 Highland to Downtown",1,121382,240021
24,13FALL-All-Weekday-05,754709,"24 Highland",1,121382,240011
24,13FALL-All-Weekday-05,754710,"24 Highland to Downtown",1,121424,240020
9931,13FALL-All-Weekday-05,754712,"Huron Industrial Special",0,121227,99310003
59,13FALL-All-Weekday-05,754713,"59 Christopher",0,121362,590005
59,13FALL-All-Weekday-05,754714,"59 Christopher",0,121362,590005
59,13FALL-All-Weekday-05,754715,"59 Christopher",0,121364,590005
